Book,Author,Read Importance (1-5)
No Compromise: The Life Story of Keith Green,Melody Green,5
Seeking Allah Finding Jesus,Nabeel Qureshi,3
Through Painted Deserts: Light God and Beauty on the Open Road,Donald Miller ,3
The Harbinger II,Jonathan Cahn,4
The Harbinger I,Jonathan Cahn,4
Forgiving What You Can't Forget,Lysa TerKeurst,2
Seven Pillars of Wisdom, T. E. Lawrence,3
We Who Wrestle with God: Perceptions of the Divine,Jordan B. Peterson,5
Elon Musk,Walter Isaacson,4
Eternity in Their Hearts,Don Richardson,2
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,3
Countercultural Living: What Jesus Has to Say About Life Marriage Race Gender and Materialism: Real Life Theology; Book 10,Carol M. Swain,2
The Bed of Procrustes: Philosophical and Practical Aphorisms ,Nassim Nicholas Taleb,2
Palestine 1936: The Great Revolt and the Roots of the Middle East Conflict,Oren Kessler,2
What I Learned Losing a Million Dollars,Jim Paul,3
MBS: The Rise to Power of Mohammed bin Salman,Ben Hubbard,3
The Genius of Israel: The Surprising Resilience of a Divided Nation in a Turbulent World,Dan Senor; Saul Singer,4
When the Moon Is Low: A Novel,Nadia Hashimi,4
Surprise Kill Vanish: The Secret History of CIA Paramilitary Armies Operators and Assassins,Annie Jacobsen,3
The Pentagon's Brain: An Uncensored History of DARPA America's Top-Secret Military Research Agency,Annie Jacobsen,4
Nuclear War: A Scenario,Annie Jacobsen,5
Bibi: My Story,Benjamin Netanyahu,5
The Screwtape Letters,C. S. Lewis,5
The True Believer: Thoughts on the Nature of Mass Movements,Eric Hoffer,3
Grit: The Power of Passion and Perseverance,Aubrey Clayton,3
Nexus: A Brief History of Information Networks from the Stone Age to AI,Yuval Noah Harari,2
Backfired: The Vaping Wars,Leon Neyfakh & Prologue Projects,1
The Things You Can See Only When You Slow Down: How to Be Calm and Mindful in a Fast-Paced World,Haemin Sunim,2
Killing Jesus: A History,Bill O'Reilly,4
Weavers, Scribes, and Kings: A New History of the Ancient Near East,Amanda H. Podany,2
Milton Friedman: The Last Conservative,Jennifer Burns,2
The Genius of Israel: The Surprising Resilience of a Divided Nation in a Turbulent World,Dan Senor & Saul Singer,4
How Emotions Are Made: The Secret Life of the Brain,Lisa Feldman Barrett,3
The Molecule of More: How a Single Chemical in Your Brain Drives Love, Sex, and Creativity - And Will Determine the Fate of the Human Race,Daniel Z. Lieberman MD & Michael E. Long,3
Skin in the Game: Hidden Asymmetries in Daily Life,Nassim Nicholas Taleb,4
Becoming Bulletproof: Lessons in Fearlessness from a Former Secret Service Agent,Evy Poumpouras,4
Slow Productivity: The Lost Art of Accomplishment Without Burnout,Cal Newport,2
Hidden Potential: The Science of Achieving Greater Things,Adam Grant,2
What Color Is Your Parachute? 2022: Your Guide to a Lifetime of Meaningful Work and Career Success,Richard N. Bolles,1
Power vs. Force: The Hidden Determinants of Human Behavior,Dr. David R. Hawkins,3
Poor Charlie’s Almanack: The Essential Wit and Wisdom of Charles T. Munger,Charles T. Munger,4
Surely You're Joking, Mr. Feynman!,Richard P. Feynman, 4
The Crusades,Abigail Archer, 2
How to Know a Person: The Art of Seeing Others Deeply and Being Deeply Seen,David Brooks,3
Life at the Bottom: The Worldview that Makes the Underclass,Theodore Dalrymple,1
The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness,Morgan Housel,4
Counting the Cost,Jill Dugger,4
The White Pill: A Tale of Good and Evil,Michael Malice,4
